time	V(out)
Step Information: Run=1  (Run: 1/100)
4.994938972194686e-04	1.254289e-02
4.997195553729828e-04	2.443185e-02
5.000000000000000e-04	4.379544e-02
5.000935094800659e-04	5.190642e-02
5.002181887868206e-04	6.221532e-02
5.004675474003298e-04	8.118992e-02
5.009662646273482e-04	1.136867e-01
5.019636990813850e-04	1.654148e-01
5.030595114445650e-04	2.073576e-01
5.045204171778118e-04	2.461133e-01
5.061254554743732e-04	2.750085e-01
5.083490284222042e-04	3.012714e-01
5.109910866125497e-04	3.213640e-01
5.147171843340651e-04	3.388946e-01
5.193803531158275e-04	3.521619e-01
5.261472801171611e-04	3.633193e-01
5.351226807672275e-04	3.718710e-01
5.448883057672275e-04	3.772890e-01
5.741851807672275e-04	3.846768e-01
6.425445557672276e-04	3.900992e-01
9.062164307672278e-04	3.938431e-01
1.500000000000000e-03	3.950202e-01
1.510000000000000e-03	3.950202e-01
9.519765624999840e-03	3.950202e-01
9.998281249999829e-03	3.950202e-01
1.000000000000000e-02	3.950202e-01
Step Information: Run=25  (Run: 25/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.958711365923431e-04	4.959207e-15
4.963979411372040e-04	4.697082e-05
4.966453235624898e-04	2.024267e-04
4.967378147373437e-04	4.173151e-04
4.967997117599195e-04	7.411190e-04
4.968662827715596e-04	1.337942e-03
4.969473514280575e-04	2.487010e-03
4.970531360673783e-04	4.818793e-03
4.971834329152918e-04	9.284546e-03
4.973529250629952e-04	1.828662e-02
4.975703742861698e-04	3.613145e-02
4.978684079261725e-04	7.372478e-02
4.983124592124971e-04	1.540436e-01
4.988205177383805e-04	2.707815e-01
4.993400729816366e-04	4.002885e-01
4.999301207539781e-04	5.418929e-01
5.000000000000000e-04	5.571120e-01
5.001800280258061e-04	5.862495e-01
5.004200653935476e-04	6.142834e-01
5.009001401290305e-04	6.510510e-01
5.014687744403231e-04	6.764789e-01
5.022436602044073e-04	6.948442e-01
5.032161798556989e-04	7.071081e-01
5.046937824815619e-04	7.166342e-01
5.069364239002614e-04	7.237920e-01
5.104806540951706e-04	7.290156e-01
5.255057205341516e-04	7.351731e-01
6.719900955341517e-04	7.386272e-01
1.500000000000000e-03	7.391097e-01
1.510000000000000e-03	7.391097e-01
9.480703124999840e-03	7.391097e-01
9.998281249999829e-03	7.391097e-01
1.000000000000000e-02	7.391097e-01
Step Information: Run=26  (Run: 26/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.967301198404927e-04	8.568456e-06
4.967877112392322e-04	3.353675e-05
4.968445964584473e-04	1.191822e-04
4.968771932738216e-04	2.102384e-04
4.969250455025700e-04	4.183177e-04
4.969841828180330e-04	8.169434e-04
